"No.","Port","Country","Year-Month","Description","Source File","Source Link"
"301","USA Ports","USA","2026-07","[General] eNOAD dysfunctional/critical equipment reporting (33 CFR 164) — All defective machinery must be reported to USCG via eNOA; revised eNOA without delay if found after submission. M/E and G/E normal operation confirmed before US call (USCG focus area; USD 150K fine imposed on a managed vessel in 2024). Deviation letter required via local agent.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"302","USA Ports","USA","2026-07","[General] Garbage handling (CBP penalty) — Garbage must be kept in tight, covered, leak-proof receptacles per 33 CFR 94.5. Avoid large bags; if unavoidable, keep tied in deck store and plan discharge at upcoming ports.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"303","USA Ports","USA","2026-07","[General] HAZMAT CBT training — Vessels calling USA require IMDG CBT (No.0053 Basic / No.0151 Advanced) for all crew, 3-year interval, printed records kept onboard.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"304","USA Ports","USA","2026-07","[General] Ballast water / VGP / BWTS — With overdue BWTS extension letter or AMS-BWTS, ocean exchange is NOT allowed (heavy fines). VGP and BFMP to be maintained per Docmap US documentation; Ballast Water Logbook per Circular 025-19.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"305","USA Ports","USA","2026-07","[General] RACE drill & response plans — RACE drill compliance per CFR (one fleet vessel per 3 years); NTVRP & CANTVCP to be kept updated; QI notification drill required — any serious accident in USA/Canada reported to QI.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"306","USA Ports","USA","2026-07","[Security] US port security advisory — Vessels that visited countries listed in the USCG Port Security Advisory during their last five port calls must take prescribed actions 1-5 as a condition of entry into US ports.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"307","USA Ports","USA","2026-07","[General] CBP visa penalty — Approx. USD 6,000 per person imposed when crew without valid US visa go out via stern ramp. Strict access control required.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"308","USA Ports","USA","2026-07","[General] Bunkering & NOA — Annual hydrostatic testing of bunker lines per CFR 156. Do NOT sign bunkering agreements indemnifying the barge under OPA. Fuel type must be indicated on NOA per USCG MSIB-11-23.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"309","USA Ports","USA","2026-07","[General] EEXI / EPL (USCG Policy Letter 01-24) — Pilot Card updated with original/limited RPM & power; override & recording procedure posted at bridge and ECR consoles; officers familiarized; report to Class/OCMI if override activated.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
"310","USA Ports","USA","2026-07","[General] AGM certification — USA is an AGM country (with Canada, Chile, Argentina, Australia, NZ); crew pre-inspection and AGM certificate obtained before departure from Asia.","WSMK Port & Country Information (Line Reporting 2026-07)","https://drive.google.com/file/d/1y4GtACSpaP8ar0VD1HPnCFJ_-9JfBX4x/view"
